Genero,Edad,Estrato,NivelEd,ConcProm1,ConcProm2_1,ConcProm2_2
0,23,3,4,0,0,0
0,36,3,2,56.97382635,62.39811099,51.54987654
1,28,3,2,42.12546684,37.38965368,46.86098765
0,23,4,4,50.39825303,43.74041608,57.05567901
0,25,5,4,50.39825303,43.74041608,57.05567901
0,26,5,4,30.05956974,35.20402494,24.9154321
0,19,3,4,26.91197259,20.71405642,33.10950617
0,23,4,4,66.21404982,75.17377616,57.25487654
0,18,4,4,4.00E+01,39.76603494,40.19296296
0,20,4,4,38.38883916,23.22587814,53.5508642
0,18,4,4,56.97382635,62.39811099,51.54987654
0,18,2,4,7.633908454,0,15.26734568
0,34,3,2,34.55939998,30.63794061,38.48061728
0,43,4,6,59.54242415,50.81974196,68.2645679
